"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2023","19,03","19,33","19,45","19,02","250,26K","-2,31%"
"30.10.2023","19,48","19,57","19,58","19,44","45,84K","0,10%"
"27.10.2023","19,46","19,71","19,71","19,42","97,97K","-1,07%"
"26.10.2023","19,67","19,63","19,76","19,60","186,32K","-0,15%"
"25.10.2023","19,70","19,70","19,76","19,62","78,95K","-0,20%"
"24.10.2023","19,74","19,71","19,95","19,68","102,98K","0,51%"
"23.10.2023","19,64","19,49","19,67","19,49","41,91K","0,05%"
"20.10.2023","19,63","19,44","19,67","19,23","93,50K","1,29%"
"19.10.2023","19,38","19,43","19,55","19,32","61,00K","-0,56%"
"18.10.2023","19,49","19,44","19,63","19,28","106,23K","0,05%"
"17.10.2023","19,48","19,53","19,68","19,46","72,12K","-0,92%"
"16.10.2023","19,66","19,66","19,78","19,56","50,18K","-0,25%"
"13.10.2023","19,71","19,82","19,89","19,61","40,20K","-0,30%"
"12.10.2023","19,77","19,91","20,00","19,72","31,48K","-0,95%"
"11.10.2023","19,96","20,04","20,10","19,93","48,85K","0,40%"
"10.10.2023","19,88","19,72","19,99","19,70","50,67K","0,25%"
"09.10.2023","19,83","19,66","19,83","19,51","37,89K","1,23%"
"06.10.2023","19,59","19,52","19,81","19,43","66,81K","-0,91%"
"05.10.2023","19,77","19,84","19,89","19,70","35,29K","-0,25%"
"04.10.2023","19,82","19,85","20,00","19,75","76,23K","0,25%"
"03.10.2023","19,77","19,98","20,02","19,72","90,52K","-1,98%"
"02.10.2023","20,17","20,38","20,38","20,15","47,90K","-1,56%"
"29.09.2023","20,49","20,34","20,70","20,28","384,45K","1,24%"
"28.09.2023","20,24","20,19","20,25","20,10","57,93K","-0,10%"
"27.09.2023","20,26","20,27","20,33","20,07","67,92K","0,30%"
"26.09.2023","20,20","20,28","20,36","20,14","69,03K","-0,64%"
"25.09.2023","20,33","20,28","20,42","20,20","53,79K","-0,54%"
"22.09.2023","20,44","20,56","20,61","20,40","28,28K","-0,29%"
"21.09.2023","20,50","20,61","20,61","20,44","87,32K","-1,39%"
"20.09.2023","20,79","20,76","20,89","20,68","170,66K","0,24%"
"19.09.2023","20,74","20,89","20,91","20,73","63,46K","-0,77%"
"18.09.2023","20,90","20,77","20,95","20,68","47,78K","0,63%"
"15.09.2023","20,77","20,81","20,81","20,65","28,71K","-0,24%"
"14.09.2023","20,82","20,72","20,86","20,72","40,42K","0,87%"
"13.09.2023","20,64","20,51","20,71","20,47","35,59K","0,93%"
"12.09.2023","20,45","20,55","20,60","20,45","40,88K","-0,54%"
"11.09.2023","20,56","20,64","20,71","20,56","41,29K","-0,24%"
"08.09.2023","20,61","20,63","20,75","20,56","21,03K","0,24%"
