date,BAC_Close,Citi_Close,JPM_Close,WFC_Close
2024-06-18,40.124,61.486,199.18,58.309
2024-06-19,40.369,62.311,202.718,59.254
2024-06-20,40.776,62.915,204.666,60.112
2024-06-21,40.752,62.816,204.8,60.082
2024-06-24,40.414,62.893,204.151,59.533
2024-06-25,40.375,62.791,205.759,59.679
2024-06-26,40.519,62.589,205.937,60.003
2024-06-27,40.453,62.331,205.098,59.138
2024-06-28,40.594,62.43,207.325,59.518
2024-07-01,40.424,61.845,201.886,59.45
2024-07-02,41.073,62.8,203.364,59.899
2024-07-03,40.613,61.411,202.317,59.286
2024-07-04,40.127,61.234,201.584,58.522
2024-07-05,40.058,60.984,198.247,58.368
2024-07-08,40.25,60.618,198.341,58.752
2024-07-09,39.386,59.272,196.719,58.041
2024-07-10,39.102,59.585,195.511,57.866
2024-07-11,38.915,59.331,195.535,58.238
2024-07-12,40.157,59.841,199.339,59.349
2024-07-15,40.485,60.412,200.139,59.418
2024-07-16,40.486,60.283,199.295,58.9
2024-07-17,40.621,60.67,198.764,58.833
2024-07-18,40.148,60.294,197.467,57.97
2024-07-19,40.017,60.727,199.641,58.31
2024-07-22,39.928,60.454,199.769,58.125
2024-07-23,39.014,58.637,195.727,57.168
2024-07-24,39.342,59.194,194.034,57.424
2024-07-25,39.307,59.637,195.108,57.679
2024-07-26,39.253,58.952,194.032,57.634
2024-07-29,39.429,59.607,194.861,58.076
