iter	RMSE
0	1.029416074
1	1.029268906
2	1.029054471
3	1.028899335
4	1.028750218
5	1.028612099
6	1.028446362
7	1.028294045
8	1.028094189
9	1.027925926
10	1.027733377
11	1.027560192
12	1.027412422
13	1.027243207
14	1.027066695
15	1.026847446
16	1.026680989
17	1.026489937
18	1.026298767
19	1.026143748
20	1.025926232
21	1.025728966
22	1.025537343
23	1.025395749
24	1.02522181
25	1.025058302
26	1.024887605
27	1.024694249
28	1.024517503
29	1.024329416
30	1.024116928
31	1.023930901
32	1.02373262
33	1.023597681
34	1.023437013
35	1.023233974
36	1.023051447
37	1.022913599
38	1.022682155
39	1.022525167
40	1.022383963
41	1.022222929
42	1.0220488
43	1.021870862
44	1.021722758
45	1.021570029
46	1.021416328
47	1.021271713
48	1.021087886
49	1.020952736
50	1.020772211
51	1.020608756
52	1.020422911
53	1.020262955
54	1.020059514
55	1.019873929
56	1.019706261
57	1.019564348
58	1.019426299
59	1.019289764
60	1.019122746
61	1.01897898
62	1.018824301
63	1.018632244
64	1.018473902
65	1.018316184
66	1.018144495
67	1.017999573
68	1.017812038
69	1.017690356
70	1.017524814
71	1.017376964
72	1.01726189
73	1.0170994
74	1.016916936
75	1.016739192
76	1.016593772
77	1.016464881
78	1.016287978
79	1.01611312
80	1.015935095
81	1.015782945
82	1.015580848
83	1.015388239
84	1.015190534
85	1.015046213
86	1.014867679
87	1.014660047
88	1.014509573
89	1.014329108
90	1.014132485
91	1.013982126
92	1.013818547
93	1.013676498
94	1.013521821
95	1.013322561
96	1.013152384
97	1.01298797
98	1.012832916
99	1.012690074
100	1.01252652
101	1.012365665
102	1.012231864
103	1.012069161
104	1.011901555
105	1.01172552
106	1.011561894
107	1.011402413
108	1.011226436
109	1.011068657
110	1.010930546
111	1.010790869
112	1.010612921
113	1.010445942
114	1.010308455
115	1.010142483
116	1.010003619
117	1.00983816
118	1.009701714
119	1.009521022
120	1.009395805
121	1.009194134
122	1.009048769
123	1.00887448
124	1.008719324
125	1.008581199
126	1.008412884
127	1.008236513
128	1.008097246
129	1.007937747
130	1.007758898
131	1.007599404
132	1.007463318
133	1.007321132
134	1.007186346
135	1.007058987
136	1.006917521
137	1.006748916
138	1.006564851
139	1.006430462
140	1.00627572
141	1.006144597
142	1.005966735
143	1.00582937
144	1.005672528
145	1.005529388
146	1.005373641
147	1.005198337
148	1.005063169
149	1.004923107
150	1.004757319
151	1.004624756
152	1.004488592
153	1.004305071
154	1.004182066
155	1.004056456
156	1.003923712
157	1.003791978
158	1.00361204
159	1.003469245
160	1.003353616
161	1.003214751
162	1.003023295
163	1.002848666
164	1.002688484
