iter	Passed	Remaining
0	11	8875
1	22	8489
2	33	8256
3	44	8295
4	55	8334
5	67	8329
6	78	8359
7	90	8350
8	101	8355
9	112	8337
10	124	8340
11	135	8335
12	147	8339
13	158	8319
14	169	8307
15	180	8292
16	191	8275
17	203	8290
18	215	8288
19	228	8326
20	239	8318
21	250	8305
22	262	8293
23	273	8286
24	285	8273
25	296	8260
26	307	8241
27	319	8226
28	330	8209
29	341	8203
30	353	8187
31	364	8170
32	375	8149
33	386	8131
34	398	8134
35	409	8119
36	420	8106
37	431	8089
38	443	8076
39	454	8064
40	465	8055
41	477	8045
42	488	8029
43	499	8018
44	510	8001
45	521	7985
46	533	7975
47	544	7960
48	556	7955
49	567	7942
50	578	7927
51	589	7914
52	600	7901
53	611	7885
54	622	7870
55	633	7856
56	644	7841
57	656	7829
58	667	7815
59	678	7805
60	689	7792
61	701	7780
62	712	7772
63	725	7771
64	736	7759
65	747	7745
66	758	7730
67	769	7717
68	780	7703
69	791	7692
70	802	7678
71	814	7666
72	825	7656
73	836	7643
74	847	7627
75	858	7616
76	870	7605
77	886	7641
78	898	7627
79	908	7611
80	919	7597
81	930	7582
82	942	7570
83	953	7557
84	964	7544
85	975	7530
86	986	7518
87	997	7506
88	1009	7495
89	1020	7485
90	1031	7471
91	1043	7460
92	1054	7446
93	1066	7443
94	1077	7431
95	1089	7419
96	1100	7405
97	1111	7392
98	1122	7379
99	1133	7369
100	1144	7356
101	1155	7343
102	1166	7330
103	1178	7318
104	1189	7304
105	1200	7293
106	1211	7281
107	1222	7267
108	1233	7253
109	1244	7241
110	1255	7230
111	1266	7216
112	1277	7204
113	1289	7192
114	1300	7178
115	1311	7165
116	1321	7152
117	1333	7139
118	1344	7127
119	1355	7114
120	1366	7101
121	1377	7089
122	1388	7077
123	1399	7065
124	1410	7052
125	1421	7041
126	1433	7031
127	1444	7018
128	1455	7007
129	1466	6994
130	1477	6982
131	1489	6971
132	1499	6958
133	1511	6946
134	1522	6934
135	1533	6922
136	1544	6910
137	1555	6898
138	1566	6886
139	1577	6874
140	1588	6862
141	1599	6850
142	1610	6837
143	1622	6826
144	1633	6814
145	1644	6802
146	1655	6791
147	1667	6780
148	1678	6768
149	1689	6756
150	1700	6746
151	1712	6736
152	1723	6725
153	1735	6714
154	1751	6724
155	1762	6711
156	1773	6699
157	1784	6686
158	1795	6674
159	1820	6712
160	1831	6699
161	1842	6687
162	1853	6675
163	1864	6662
164	1875	6649
165	1886	6637
166	1897	6625
167	1909	6613
168	1920	6600
169	1931	6590
170	1942	6577
171	1953	6565
172	1964	6553
173	1975	6541
174	1987	6530
175	1998	6518
176	2010	6507
177	2021	6497
178	2033	6486
179	2044	6474
180	2055	6462
181	2066	6449
182	2078	6438
183	2089	6426
184	2100	6413
185	2110	6401
186	2122	6388
187	2133	6376
188	2144	6364
189	2155	6351
190	2166	6339
191	2177	6327
192	2188	6316
193	2201	6309
194	2212	6297
195	2223	6285
196	2234	6273
197	2245	6261
198	2257	6249
199	2268	6237
200	2279	6225
201	2290	6214
202	2301	6201
203	2312	6190
204	2323	6177
205	2335	6166
206	2346	6154
207	2357	6141
208	2368	6130
209	2379	6119
210	2390	6107
211	2401	6095
212	2412	6082
213	2423	6070
214	2434	6058
215	2446	6047
216	2457	6035
217	2468	6022
218	2479	6011
219	2490	5998
220	2501	5987
221	2512	5975
222	2523	5963
223	2534	5951
224	2545	5939
225	2556	5927
226	2567	5915
227	2578	5903
228	2589	5891
229	2600	5879
230	2611	5868
231	2628	5868
232	2639	5857
233	2650	5845
234	2661	5833
235	2673	5821
236	2684	5810
237	2696	5799
238	2707	5789
239	2719	5779
240	2730	5767
241	2741	5755
242	2752	5743
243	2763	5731
244	2774	5719
245	2785	5706
246	2796	5695
247	2807	5683
248	2818	5671
249	2830	5660
250	2841	5648
251	2852	5636
252	2863	5625
253	2874	5613
254	2885	5602
255	2897	5590
256	2908	5578
257	2919	5567
258	2930	5555
259	2941	5544
260	2952	5532
261	2964	5521
262	2975	5509
263	2986	5498
264	2998	5488
265	3010	5477
266	3022	5466
267	3032	5454
268	3043	5442
269	3055	5431
270	3066	5419
271	3077	5408
272	3088	5396
273	3099	5384
274	3110	5373
275	3122	5362
276	3133	5350
277	3144	5338
278	3155	5327
279	3166	5315
280	3182	5311
281	3194	5302
282	3207	5293
283	3219	5281
284	3230	5270
285	3241	5258
286	3252	5247
287	3263	5235
288	3274	5223
289	3285	5211
290	3296	5200
291	3308	5188
292	3319	5176
293	3330	5165
294	3342	5155
295	3353	5143
296	3364	5132
297	3375	5120
298	3386	5108
299	3397	5096
300	3408	5084
301	3419	5072
302	3430	5061
303	3442	5050
304	3453	5038
305	3464	5026
306	3475	5014
307	3486	5002
308	3503	4999
309	3514	4988
310	3525	4976
311	3536	4964
312	3547	4952
313	3558	4941
314	3569	4929
315	3580	4917
316	3591	4905
317	3602	4894
318	3613	4882
319	3624	4870
