date,WFC_Close,WFC_Volume,JPM_Close,JPM_Volume,Citi_Close,Citi_Volume,BAC_Close,BAC_Volume,S&P_500,Index USD,UnEm,Nominal GDP Index,Real GDP Index,CPI,RD,Trade Balance,Consumer Confidence,Industry PMI,Service PMI,Nominal_GDP_deviation(%)
2020-01-02,53.75,1681.0,141.09,1081.0,81.23,1273.0,35.64,3764.0,3257.85,96.85,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-03,53.42,1561.0,138.34,1039.0,79.7,1266.0,34.9,5076.0,3234.85,96.84,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-06,53.1,1320.0,138.23,1027.0,79.45,1007.0,34.85,4223.0,3246.28,96.67,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-07,52.66,1329.0,135.88,1058.0,78.76,1049.0,34.62,3435.0,3237.18,97.0,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-08,52.82,1659.0,136.94,970.0,79.36,1129.0,34.97,4534.0,3253.05,97.3,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-09,52.73,2082.0,137.44,947.0,80.08,1290.0,35.03,3988.0,3274.7,97.45,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-10,52.5,1378.0,136.07,1019.0,79.25,1006.0,34.74,3974.0,3265.35,97.36,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-13,52.11,2521.0,137.2,1238.0,80.65,1659.0,35.06,3802.0,3288.13,97.34,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-14,49.3,5668.0,138.8,2494.0,81.91,2498.0,35.32,6679.0,3283.15,97.37,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-15,48.32,4715.0,136.72,1629.0,81.24,1606.0,34.67,7475.0,3289.29,97.23,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-16,49.25,3702.0,137.25,1078.0,81.0,1043.0,34.72,5037.0,3316.81,97.32,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-17,49.18,2967.0,138.2,1470.0,81.12,1241.0,34.71,5416.0,3329.62,97.64,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
2020-01-21,48.94,3086.0,136.84,847.0,79.9,1052.0,34.26,5081.0,3320.79,97.53,3.5,27832.404973867688,22546.406262960027,2.3,1.25,-48.9,130.7,51.7,53.2,23.44
