"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2023","39,49","39,04","39,53","38,92","16,27M","1,44%"
"30.10.2023","38,93","38,55","38,97","38,41","20,65M","1,80%"
"27.10.2023","38,24","39,33","39,37","38,17","20,65M","-2,80%"
"26.10.2023","39,34","38,50","39,75","38,47","24,92M","1,89%"
"25.10.2023","38,61","38,70","38,85","38,26","15,08M","-0,82%"
"24.10.2023","38,93","38,92","39,30","38,74","17,10M","0,10%"
"23.10.2023","38,89","39,58","39,62","38,79","21,33M","-1,99%"
"20.10.2023","39,68","39,97","40,24","39,56","20,30M","-0,95%"
"19.10.2023","40,06","40,26","40,75","40,03","17,39M","-1,01%"
"18.10.2023","40,47","40,94","40,94","40,17","22,97M","-1,77%"
"17.10.2023","41,20","40,65","41,67","40,60","20,01M","0,61%"
"16.10.2023","40,95","41,95","42,00","40,53","24,65M","-1,16%"
"13.10.2023","41,43","42,96","43,32","41,35","31,92M","-0,24%"
"12.10.2023","41,53","41,40","41,79","41,12","17,97M","0,00%"
"11.10.2023","41,53","41,64","42,00","41,36","12,71M","0,22%"
"10.10.2023","41,44","41,14","41,76","41,14","18,82M","1,72%"
"09.10.2023","40,74","40,18","41,01","39,95","14,86M","0,42%"
"06.10.2023","40,57","39,68","40,85","39,51","16,90M","1,73%"
"05.10.2023","39,88","39,62","39,88","39,19","18,08M","0,18%"
"04.10.2023","39,81","39,69","39,93","39,14","23,27M","-0,13%"
"03.10.2023","39,86","40,20","40,54","39,59","19,28M","-1,58%"
"02.10.2023","40,50","40,99","41,05","40,29","16,07M","-1,53%"
"29.09.2023","41,13","41,45","41,89","40,92","16,92M","-0,17%"
"28.09.2023","41,20","40,47","41,35","40,41","14,27M","1,83%"
"27.09.2023","40,46","40,29","40,63","39,94","14,81M","0,60%"
"26.09.2023","40,22","40,67","41,04","40,06","21,50M","-1,95%"
"25.09.2023","41,02","40,75","41,08","40,58","10,63M","0,24%"
"22.09.2023","40,92","41,75","41,86","40,86","15,44M","-1,89%"
"21.09.2023","41,71","42,06","42,36","41,69","12,14M","-1,39%"
"20.09.2023","42,30","42,95","43,13","42,27","11,15M","-0,89%"
"19.09.2023","42,68","42,79","42,86","42,47","10,94M","0,09%"
"18.09.2023","42,64","42,60","42,78","42,40","10,38M","-0,16%"
"15.09.2023","42,71","42,75","43,24","42,66","22,98M","-1,00%"
"14.09.2023","43,14","42,79","43,44","42,73","18,98M","1,82%"
"13.09.2023","42,37","41,94","42,90","41,68","29,92M","1,66%"
"12.09.2023","41,68","40,57","42,06","40,56","24,52M","2,69%"
"11.09.2023","40,59","40,81","41,37","40,53","11,29M","0,00%"
"08.09.2023","40,59","40,61","40,69","40,28","14,56M","-0,34%"
"07.09.2023","40,73","41,07","41,37","40,70","12,11M","-1,55%"
"06.09.2023","41,37","41,02","41,49","40,91","13,57M","0,02%"
"05.09.2023","41,36","41,53","41,93","41,19","15,53M","-0,55%"
"01.09.2023","41,59","41,59","41,82","41,38","12,41M","0,73%"
"31.08.2023","41,29","41,51","41,68","41,01","17,57M","-0,19%"
"30.08.2023","41,37","41,69","41,83","41,34","14,93M","-0,84%"
"29.08.2023","41,72","41,30","41,77","41,26","13,01M","0,97%"
"28.08.2023","41,32","41,48","41,86","41,15","13,98M","0,19%"
"25.08.2023","41,24","41,26","41,66","40,78","16,88M","0,39%"
"24.08.2023","41,08","41,02","41,67","40,72","15,43M","0,00%"
"23.08.2023","41,08","41,06","41,23","40,76","16,06M","0,15%"
"22.08.2023","41,02","42,31","42,38","40,97","20,24M","-2,50%"
"21.08.2023","42,07","42,62","42,76","41,67","13,62M","-0,43%"
"18.08.2023","42,25","42,15","42,80","42,09","12,91M","-0,49%"
"17.08.2023","42,46","42,84","43,08","42,09","16,03M","-0,42%"
"16.08.2023","42,64","43,02","43,15","42,57","13,32M","-1,32%"
"15.08.2023","43,21","43,65","43,65","43,17","16,27M","-2,02%"
"14.08.2023","44,10","44,08","44,41","43,98","13,95M","-1,05%"
"11.08.2023","44,57","44,04","44,62","43,98","11,97M","0,52%"
"10.08.2023","44,34","44,71","44,99","44,24","12,04M","-0,23%"
"09.08.2023","44,44","45,02","45,19","44,41","12,35M","-1,59%"
"08.08.2023","45,16","45,02","45,23","44,14","18,29M","-1,46%"
"07.08.2023","45,83","45,95","46,24","45,63","15,41M","0,26%"
"04.08.2023","45,71","45,73","46,69","45,56","18,33M","-1,08%"
"03.08.2023","46,21","45,97","46,47","45,71","13,00M","-0,22%"
"02.08.2023","46,31","46,42","46,67","45,95","12,58M","-1,61%"
"01.08.2023","47,07","47,33","47,47","46,81","12,89M","-1,24%"
"31.07.2023","47,66","47,59","48,05","47,36","13,74M","0,53%"
"28.07.2023","47,41","48,32","48,36","47,09","20,88M","-0,98%"
"27.07.2023","47,88","47,60","49,12","47,44","25,16M","0,82%"
"26.07.2023","47,49","47,39","47,74","47,02","12,27M","0,85%"
"25.07.2023","47,09","47,49","47,78","47,06","14,73M","-1,20%"
"24.07.2023","47,66","46,98","47,84","46,98","19,01M","1,30%"
"21.07.2023","47,05","47,54","47,60","46,81","18,25M","-0,76%"
"20.07.2023","47,41","47,39","47,88","47,23","17,65M","-0,23%"
"19.07.2023","47,52","47,08","47,84","46,62","15,58M","1,06%"
"18.07.2023","47,02","46,75","47,66","46,68","24,02M","1,64%"
"17.07.2023","46,26","45,81","46,62","45,72","18,28M","1,11%"
"14.07.2023","45,75","48,48","48,55","45,69","31,36M","-4,05%"
"13.07.2023","47,68","47,56","47,85","47,14","18,94M","0,63%"
"12.07.2023","47,38","47,26","48,27","47,22","17,67M","1,83%"
"11.07.2023","46,53","45,80","46,61","45,63","13,97M","1,88%"
"10.07.2023","45,67","45,60","46,39","45,54","14,31M","-0,15%"
"07.07.2023","45,74","45,23","46,35","45,21","13,01M","0,79%"
"06.07.2023","45,38","46,50","46,50","45,11","17,02M","-3,03%"
"05.07.2023","46,80","46,71","47,05","46,41","11,71M","0,13%"
"03.07.2023","46,74","46,12","47,28","46,09","10,16M","1,52%"
"30.06.2023","46,04","46,78","46,80","46,03","15,23M","-0,54%"
"29.06.2023","46,29","46,17","46,78","46,01","18,11M","0,13%"
"28.06.2023","46,23","46,37","46,39","45,81","13,01M","-0,37%"
"27.06.2023","46,40","46,20","46,61","45,90","11,81M","0,35%"
"26.06.2023","46,24","46,12","46,69","46,01","13,20M","0,48%"
"23.06.2023","46,02","46,10","46,24","45,84","13,25M","-1,31%"
"22.06.2023","46,63","47,22","47,26","46,43","11,69M","-1,65%"
"21.06.2023","47,41","47,50","47,85","47,23","10,48M","-0,42%"
"20.06.2023","47,61","47,91","47,91","47,08","12,52M","-1,20%"
"16.06.2023","48,19","48,84","48,84","48,16","18,22M","-0,76%"
