"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2023","39,77","39,64","39,81","39,24","10,75M","0,86%"
"30.10.2023","39,43","39,10","39,59","38,69","11,68M","1,73%"
"27.10.2023","38,76","39,38","39,41","38,62","13,58M","-2,24%"
"26.10.2023","39,65","39,02","39,97","38,98","14,36M","1,59%"
"25.10.2023","39,03","39,07","39,21","38,58","13,83M","-0,64%"
"24.10.2023","39,28","39,62","39,83","39,24","12,04M","-0,51%"
"23.10.2023","39,48","40,26","40,38","39,42","13,79M","-1,96%"
"20.10.2023","40,27","41,05","41,09","39,94","17,11M","-2,21%"
"19.10.2023","41,18","41,48","42,22","41,16","16,10M","-0,84%"
"18.10.2023","41,53","41,70","41,94","41,35","16,00M","-1,07%"
"17.10.2023","41,98","41,42","42,37","41,42","16,95M","0,79%"
"16.10.2023","41,65","41,47","42,17","41,40","18,33M","1,68%"
"13.10.2023","40,96","40,83","41,64","40,47","28,04M","3,07%"
"12.10.2023","39,74","39,69","40,01","39,32","14,78M","0,13%"
"11.10.2023","39,69","40,01","40,21","39,25","14,77M","-0,33%"
"10.10.2023","39,82","39,92","40,38","39,72","14,42M","0,30%"
"09.10.2023","39,70","39,11","39,80","39,10","12,10M","0,03%"
"06.10.2023","39,69","38,89","39,89","38,76","13,67M","0,99%"
"05.10.2023","39,30","38,76","39,42","38,60","11,76M","0,85%"
"04.10.2023","38,97","38,51","39,11","38,38","14,32M","0,78%"
"03.10.2023","38,67","39,38","39,47","38,47","19,23M","-2,37%"
"02.10.2023","39,61","40,69","40,76","39,44","15,04M","-3,06%"
"29.09.2023","40,86","41,20","41,39","40,58","13,12M","-0,12%"
"28.09.2023","40,91","40,83","41,20","40,72","12,33M","0,12%"
"27.09.2023","40,86","40,63","41,20","40,46","11,72M","0,52%"
"26.09.2023","40,65","41,05","41,31","40,36","15,15M","-2,19%"
"25.09.2023","41,56","40,88","41,62","40,77","10,61M","0,80%"
"22.09.2023","41,23","42,33","42,39","41,15","16,78M","-2,58%"
"21.09.2023","42,32","42,75","43,17","42,29","14,98M","-1,28%"
"20.09.2023","42,87","43,40","43,72","42,82","16,24M","-0,81%"
"19.09.2023","43,22","43,55","43,74","42,90","14,51M","-0,48%"
"18.09.2023","43,43","42,99","43,60","42,77","14,77M","1,12%"
"15.09.2023","42,95","42,67","43,31","42,61","47,37M","-0,23%"
"14.09.2023","43,05","42,81","43,39","42,70","20,75M","1,89%"
"13.09.2023","42,25","42,71","42,88","42,12","15,26M","-0,68%"
"12.09.2023","42,54","41,41","42,97","41,27","18,38M","2,93%"
"11.09.2023","41,33","41,38","41,72","41,21","15,04M","0,80%"
"08.09.2023","41,00","40,45","41,12","40,33","13,90M","1,41%"
"07.09.2023","40,43","40,73","41,02","40,30","13,78M","-1,44%"
"06.09.2023","41,02","41,21","41,40","40,60","18,77M","-1,25%"
"05.09.2023","41,54","41,65","42,28","41,31","14,20M","-0,26%"
"01.09.2023","41,65","41,55","41,99","41,51","12,89M","0,87%"
