"date", "value"
"10.2023","-58,30"
"09.2023","-65,00"
"08.2023","-65,50"
"07.2023","-69,00"
"06.2023","-74,60"
"05.2023","-64,20"
"04.2023","-70,50"
"03.2023","-68,30"
"02.2023","-67,40"
"01.2023","-61,50"
"12.2022","-78,20"
"11.2022","-73,30"
"10.2022","-67,40"
"09.2022","-70,70"
"08.2022","-79,60"
"07.2022","-85,50"
"06.2022","-87,10"
"05.2022","-109,80"
"04.2022","-89,20"
"03.2022","-89,70"
"02.2022","-80,70"
"01.2022","-80,20"
"12.2021","-67,10"
"11.2021","-80,90"
"10.2021","-73,30"
"09.2021","-70,10"
"08.2021","-75,70"
"07.2021","-71,20"
"06.2021","-68,90"
"05.2021","-74,40"
"04.2021","-71,10"
"03.2021","-68,20"
"02.2021","-66,60"
"01.2021","-68,10"
"12.2020","-63,10"
"11.2020","-63,90"
"10.2020","-67,10"
"09.2020","-63,60"
"08.2020","-50,70"
"07.2020","-54,60"
"06.2020","-49,40"
"05.2020","-44,40"
"04.2020","-39,90"
"03.2020","-45,30"
"02.2020","-48,90"
"01.2020","-43,10"
