"date", "value"
"10.2023", "3,9%"
"09.2023", "3,8%"
"08.2023", "3,8%"
"07.2023", "3,5%"
"06.2023", "3,6%"
"05.2023", "3,7%"
"04.2023", "3,4%"
"03.2023", "3,5%"
"02.2023", "3,6%"
"01.2023", "3,4%"
"12.2023", "3,5%"
"11.2022", "3,7%"
"10.2022", "3,7%"
"09.2022", "3,5%"
"08.2022", "3,7%"
"07.2022", "3,5%"
"06.2022", "3,6%"
"05.2022", "3,6%"
"04.2022", "3,6%"
"03.2022", "3,6%"
"02.2022", "3,8%"
"01.2022", "4,0%"
"12.2022", "3,9%"
"11.2021", "4,2%"
"10.2021", "4,6%"
"09.2021", "4,8%"
"08.2021", "5,2%"
"07.2021", "5,4%"
"06.2021", "5,9%"
"05.2021", "5,8%"
"04.2021", "6,1%"
"03.2021", "6,0%"
"02.2021", "6,2%"
"01.2021", "6,3%"
"12.2021", "6,7%"
"11.2020", "6,7%"
"10.2020", "6,9%"
"09.2020", "7,9%"
"08.2020", "8,4%"
"07.2020", "10,2%"
"06.2020", "11,1%"
"05.2020", "13,3%"
"04.2020", "14,7%"
"03.2020", "4,4%"
"02.2020", "3,5%"
"01.2020", "3,6%"
